========================================================================================================================
RÉSULTATS BM25 - ÉVALUATION COMPLÈTE
========================================================================================================================

========================================================================================================================
📈 MÉTRIQUES GLOBALES MOYENNES
========================================================================================================================
MAP (Mean Average Precision):        0.5325
MAP Interpolée:                      0.5438
Mean P@5:                            0.7267
Mean P@10:                           0.6500
Mean R-Precision:                    0.5135
MRR (Mean Reciprocal Rank):          0.9075
Mean DCG@20:                         65.8778
Mean nDCG@20:                        1.0000
========================================================================================================================

========================================================================================================================
REQUÊTE 1
========================================================================================================================
Documents pertinents (R): 37
Documents pertinents trouvés: 37

MÉTRIQUES:
------------------------------------------------------------------------------------------------------------------------
Rappel:              1.0000
Précision:           0.0358
F-Mesure:            0.0692
P@5:                 1.0000
P@10:                0.9000
R-Precision:         0.7297
Reciprocal Rank:     1.0000
Average Precision:   0.8237
AP Interpolée:       0.8369
DCG@20:              37.4276
nDCG@20:             1.0000

CLASSEMENT COMPLET:
------------------------------------------------------------------------------------------------------------------------
Rang   Doc      Pert.    Rappel       Précision   
97     578      ✗        -            -           
98     130      ✗        -            -           
99     383      ✗        -            -           
100    900      ✗        -            -           
101    262      ✗        -            -           
102    758      ✗        -            -           
103    333      ✗        -            -           
104    603      ✗        -            -           
105    981      ✗        -            -           
106    445      ✗        -            -           
107    584      ✗        -            -           
108    442      ✗        -            -           
109    744      ✗        -            -           
110    606      ✗        -            -           
111    253      ✗        -            -           
112    454      ✗        -            -           
113    875      ✗        -            -           
114    849      ✗        -            -           
115    816      ✗        -            -           
116    619      ✗        -            -           
117    516      ✗        -            -           
118    660      ✗        -            -           
119    894      ✗        -            -           
120    86       ✗        -            -           
121    734      ✗        -            -           
122    700      ✗        -            -           
123    78       ✗        -            -           
124    195      ✗        -            -           
125    826      ✗        -            -           
126    730      ✗        -            -           
127    521      ✗        -            -           
128    160      ✗        -            -           
129    42       ✗        -            -           
130    372      ✗        -            -           
131    886      ✗        -            -           
132    590      ✗        -            -           
133    648      ✗        -            -           
134    658      ✗        -            -           
135    87       ✗        -            -           
136    950      ✗        -            -           
137    342      ✗        -            -           
138    4        ✗        -            -           
139    655      ✗        -            -           
140    248      ✗        -            -           
141    567      ✗        -            -           
142    743      ✗        -            -           
143    650      ✗        -            -           
144    158      ✗        -            -           
145    589      ✗        -            -           
146    643      ✗        -            -           
147    234      ✗        -            -           
148    831      ✗        -            -           
149    67       ✗        -            -           
150    375      ✗        -            -           
151    496      ✗        -            -           
152    726      ✗        -            -           
153    367      ✗        -            -           
154    24       ✗        -            -           
155    189      ✗        -            -           
156    909      ✗        -            -           
157    593      ✗        -            -           
158    719      ✗        -            -           
159    82       ✗        -            -           
160    910      ✗        -            -           
161    229      ✗        -            -           
162    627      ✗        -            -           
163    652      ✗        -            -           
164    267      ✗        -            -           
165    214      ✗        -            -           
166    984      ✗        -            -           
167    880      ✗        -            -           
168    585      ✗        -            -           
169    863      ✗        -            -           
170    83       ✗        -            -           
171    888      ✗        -            -           
172    1029     ✗        -            -           
173    162      ✗        -            -           
174    664      ✗        -            -           
175    300      ✗        -            -           
176    486      ✗        -            -           
177    573      ✗        -            -           
178    580      ✗        -            -           
179    907      ✗        -            -           
180    176      ✗        -            -           
181    797      ✗        -            -           
182    95       ✗        -            -           
183    196      ✗        -            -           
184    108      ✗        -            -           
185    577      ✗        -            -           
186    632      ✗        -            -           
187    188      ✗        -            -           
188    299      ✗        -            -           
189    466      ✗        -            -           
190    576      ✗        -            -           
191    114      ✗        -            -           
192    999      ✗        -            -           
193    207      ✗        -            -           
194    75       ✗        -            -           
195    905      ✗        -            -           
196    631      ✗        -            -           
197    421      ✗        -            -           
198    769      ✗        -            -           
199    1001     ✗        -            -           
200    800      ✗        -            -           
201    480      ✗        -            -           
202    809      ✗        -            -           
203    812      ✗        -            -           
204    408      ✗        -            -           
205    322      ✗        -            -           
206    35       ✗        -            -           
207    1020     ✗        -            -           
208    604      ✗        -            -           
209    100      ✗        -            -           
210    326      ✗        -            -           
211    872      ✗        -            -           
212    799      ✗        -            -           
213    581      ✗        -            -           
214    485      ✗        -            -           
215    557      ✗        -            -           
216    732      ✗        -            -           
217    70       ✗        -            -           
218    927      ✗        -            -           
219    811      ✗        -            -           
220    208      ✗        -            -           
221    282      ✗        -            -           
222    715      ✗        -            -           
223    608      ✗        -            -           
224    569      ✗        -            -           
225    1        ✗        -            -           
226    2        ✗        -            -           
227    3        ✗        -            -           
228    5        ✗        -            -           
229    6        ✗        -            -           
230    7        ✗        -            -           
231    8        ✗        -            -           
232    10       ✗        -            -           
233    12       ✗        -            -           
234    16       ✗        -            -           
235    17       ✗        -            -           
236    18       ✗        -            -           
237    19       ✗        -            -           
238    20       ✗        -            -           
239    21       ✗        -            -           
240    22       ✗        -            -           
241    23       ✗        -            -           
242    25       ✗        -            -           
243    26       ✗        -            -           
244    27       ✗        -            -           
245    28       ✗        -            -           
246    29       ✗        -            -           
247    30       ✗        -            -           
248    31       ✗        -            -           
249    32       ✗        -            -           
250    33       ✗        -            -           
251    34       ✗        -            -           
252    36       ✗        -            -           
253    37       ✗        -            -           
254    38       ✗        -            -           
255    39       ✗        -            -           
256    40       ✗        -            -           
257    43       ✗        -            -           
258    44       ✗        -            -           
259    45       ✗        -            -           
260    46       ✗        -            -           
261    47       ✗        -            -           
262    48       ✗        -            -           
263    49       ✗        -            -           
264    50       ✗        -            -           
265    51       ✗        -            -           
266    52       ✗        -            -           
267    53       ✗        -            -           
268    54       ✗        -            -           
269    55       ✗        -            -           
270    56       ✗        -            -           
271    57       ✗        -            -           
272    59       ✗        -            -           
273    60       ✗        -            -           
274    61       ✗        -            -           
275    62       ✗        -            -           
276    63       ✗        -            -           
277    64       ✗        -            -           
278    66       ✗        -            -           
279    68       ✗        -            -           
280    69       ✗        -            -           
281    71       ✗        -            -           
282    73       ✗        -            -           
283    74       ✗        -            -           
284    76       ✗        -            -           
285    77       ✗        -            -           
286    80       ✗        -            -           
287    81       ✗        -            -           
288    84       ✗        -            -           
289    85       ✗        -            -           
290    88       ✗        -            -           
291    89       ✗        -            -           
292    90       ✗        -            -           
293    91       ✗        -            -           
294    92       ✗        -            -           
295    93       ✗        -            -           
296    94       ✗        -            -           
297    96       ✗        -            -           
298    97       ✗        -            -           
299    98       ✗        -            -           
300    101      ✗        -            -           
301    102      ✗        -            -           
302    103      ✗        -            -           
303    104      ✗        -            -           
304    105      ✗        -            -           
305    106      ✗        -            -           
306    107      ✗        -            -           
307    109      ✗        -            -           
308    110      ✗        -            -           
309    111      ✗        -            -           
310    113      ✗        -            -           
311    115      ✗        -            -           
312    116      ✗        -            -           
313    117      ✗        -            -           
314    118      ✗        -            -           
315    119      ✗        -            -           
316    120      ✗        -            -           
317    121      ✗        -            -           
318    122      ✗        -            -           
319    123      ✗        -            -           
320    124      ✗        -            -           
321    126      ✗        -            -           
322    128      ✗        -            -           
323    129      ✗        -            -           
324    131      ✗        -            -           
325    132      ✗        -            -           
326    133      ✗        -            -           
327    134      ✗        -            -           
328    135      ✗        -            -           
329    136      ✗        -            -           
330    137      ✗        -            -           
331    139      ✗        -            -           
332    140      ✗        -            -           
333    141      ✗        -            -           
334    143      ✗        -            -           
335    144      ✗        -            -           
336    145      ✗        -            -           
337    146      ✗        -            -           
338    147      ✗        -            -           
339    148      ✗        -            -           
340    149      ✗        -            -           
341    150      ✗        -            -           
342    151      ✗        -            -           
343    152      ✗        -            -           
344    153      ✗        -            -           
345    154      ✗        -            -           
346    155      ✗        -            -           
347    157      ✗        -            -           
348    159      ✗        -            -           
349    161      ✗        -            -           
350    179      ✗        -            -           
351    187      ✗        -            -           
352    190      ✗        -            -           
353    191      ✗        -            -           
354    192      ✗        -            -           
355    193      ✗        -            -           
356    194      ✗        -            -           
357    197      ✗        -            -           
358    198      ✗        -            -           
359    199      ✗        -            -           
360    200      ✗        -            -           
361    201      ✗        -            -           
362    202      ✗        -            -           
363    203      ✗        -            -           
364    204      ✗        -            -           
365    205      ✗        -            -           
366    210      ✗        -            -           
367    216      ✗        -            -           
368    217      ✗        -            -           
369    218      ✗        -            -           
370    219      ✗        -            -           
371    221      ✗        -            -           
372    222      ✗        -            -           
373    223      ✗        -            -           
374    224      ✗        -            -           
375    225      ✗        -            -           
376    226      ✗        -            -           
377    227      ✗        -            -           
378    228      ✗        -            -           
379    230      ✗        -            -           
380    232      ✗        -            -           
381    233      ✗        -            -           
382    235      ✗        -            -           
383    236      ✗        -            -           
384    237      ✗        -            -           
385    238      ✗        -            -           
386    239      ✗        -            -           
387    240      ✗        -            -           
388    241      ✗        -            -           
389    242      ✗        -            -           
390    243      ✗        -            -           
391    244      ✗        -            -           
392    245      ✗        -            -           
393    246      ✗        -            -           
394    247      ✗        -            -           
395    249      ✗        -            -           
396    250      ✗        -            -           
397    251      ✗        -            -           
398    252      ✗        -            -           
399    254      ✗        -            -           
400    255      ✗        -            -           
401    257      ✗        -            -           
402    258      ✗        -            -           
403    260      ✗        -            -           
404    261      ✗        -            -           
405    263      ✗        -            -           
406    264      ✗        -            -           
407    265      ✗        -            -           
408    266      ✗        -            -           
409    268      ✗        -            -           
410    269      ✗        -            -           
411    270      ✗        -            -           
412    271      ✗        -            -           
413    272      ✗        -            -           
414    273      ✗        -            -           
415    274      ✗        -            -           
416    275      ✗        -            -           
417    276      ✗        -            -           
418    277      ✗        -            -           
419    278      ✗        -            -           
420    279      ✗        -            -           
421    280      ✗        -            -           
422    281      ✗        -            -           
423    283      ✗        -            -           
424    284      ✗        -            -           
425    285      ✗        -            -           
426    286      ✗        -            -           
427    287      ✗        -            -           
428    288      ✗        -            -           
429    289      ✗        -            -           
430    290      ✗        -            -           
431    291      ✗        -            -           
432    292      ✗        -            -           
433    293      ✗        -            -           
434    294      ✗        -            -           
435    295      ✗        -            -           
436    296      ✗        -            -           
437    297      ✗        -            -           
438    298      ✗        -            -           
439    301      ✗        -            -           
440    302      ✗        -            -           
441    303      ✗        -            -           
442    304      ✗        -            -           
443    305      ✗        -            -           
444    306      ✗        -            -           
445    307      ✗        -            -           
446    308      ✗        -            -           
447    309      ✗        -            -           
448    310      ✗        -            -           
449    311      ✗        -            -           
450    312      ✗        -            -           
451    313      ✗        -            -           
452    314      ✗        -            -           
453    315      ✗        -            -           
454    316      ✗        -            -           
455    317      ✗        -            -           
456    318      ✗        -            -           
457    319      ✗        -            -           
458    320      ✗        -            -           
459    321      ✗        -            -           
460    323      ✗        -            -           
461    324      ✗        -            -           
462    325      ✗        -            -           
463    327      ✗        -            -           
464    328      ✗        -            -           
465    329      ✗        -            -           
466    330      ✗        -            -           
467    331      ✗        -            -           
468    332      ✗        -            -           
469    334      ✗        -            -           
470    335      ✗        -            -           
471    337      ✗        -            -           
472    338      ✗        -            -           
473    339      ✗        -            -           
474    340      ✗        -            -           
475    341      ✗        -            -           
476    343      ✗        -            -           
477    344      ✗        -            -           
478    345      ✗        -            -           
479    346      ✗        -            -           
480    347      ✗        -            -           
481    348      ✗        -            -           
482    349      ✗        -            -           
483    350      ✗        -            -           
484    351      ✗        -            -           
485    352      ✗        -            -           
486    353      ✗        -            -           
487    354      ✗        -            -           
488    355      ✗        -            -           
489    356      ✗        -            -           
490    357      ✗        -            -           
491    358      ✗        -            -           
492    359      ✗        -            -           
493    361      ✗        -            -           
494    362      ✗        -            -           
495    363      ✗        -            -           
496    364      ✗        -            -           
497    365      ✗        -            -           
498    366      ✗        -            -           
499    368      ✗        -            -           
500    369      ✗        -            -           
501    370      ✗        -            -           
502    371      ✗        -            -           
503    373      ✗        -            -           
504    376      ✗        -            -           
505    377      ✗        -            -           
506    378      ✗        -            -           
507    379      ✗        -            -           
508    380      ✗        -            -           
509    381      ✗        -            -           
510    382      ✗        -            -           
511    384      ✗        -            -           
512    385      ✗        -            -           
513    386      ✗        -            -           
514    387      ✗        -            -           
515    388      ✗        -            -           
516    389      ✗        -            -           
517    390      ✗        -            -           
518    391      ✗        -            -           
519    392      ✗        -            -           
520    393      ✗        -            -           
521    394      ✗        -            -           
522    395      ✗        -            -           
523    396      ✗        -            -           
524    397      ✗        -            -           
525    398      ✗        -            -           
526    399      ✗        -            -           
527    400      ✗        -            -           
528    402      ✗        -            -           
529    405      ✗        -            -           
530    406      ✗        -            -           
531    407      ✗        -            -           
532    409      ✗        -            -           
533    410      ✗        -            -           
534    411      ✗        -            -           
535    412      ✗        -            -           
536    413      ✗        -            -           
537    414      ✗        -            -           
538    415      ✗        -            -           
539    416      ✗        -            -           
540    417      ✗        -            -           
541    418      ✗        -            -           
542    419      ✗        -            -           
543    420      ✗        -            -           
544    422      ✗        -            -           
545    423      ✗        -            -           
546    424      ✗        -            -           
547    425      ✗        -            -           
548    426      ✗        -            -           
549    427      ✗        -            -           
550    428      ✗        -            -           
551    429      ✗        -            -           
552    430      ✗        -            -           
553    431      ✗        -            -           
554    432      ✗        -            -           
555    433      ✗        -            -           
556    434      ✗        -            -           
557    435      ✗        -            -           
558    436      ✗        -            -           
559    437      ✗        -            -           
560    438      ✗        -            -           
561    439      ✗        -            -           
562    440      ✗        -            -           
563    441      ✗        -            -           
564    443      ✗        -            -           
565    444      ✗        -            -           
566    446      ✗        -            -           
567    447      ✗        -            -           
568    448      ✗        -            -           
569    449      ✗        -            -           
570    450      ✗        -            -           
571    451      ✗        -            -           
572    452      ✗        -            -           
573    453      ✗        -            -           
574    455      ✗        -            -           
575    456      ✗        -            -           
576    457      ✗        -            -           
577    458      ✗        -            -           
578    459      ✗        -            -           
579    460      ✗        -            -           
580    461      ✗        -            -           
581    462      ✗        -            -           
582    463      ✗        -            -           
583    465      ✗        -            -           
584    467      ✗        -            -           
585    468      ✗        -            -           
586    470      ✗        -            -           
587    471      ✗        -            -           
588    472      ✗        -            -           
589    473      ✗        -            -           
590    474      ✗        -            -           
591    475      ✗        -            -           
592    476      ✗        -            -           
593    477      ✗        -            -           
594    478      ✗        -            -           
595    479      ✗        -            -           
596    481      ✗        -            -           
597    482      ✗        -            -           
598    483      ✗        -            -           
599    484      ✗        -            -           
600    487      ✗        -            -           
601    488      ✗        -            -           
602    489      ✗        -            -           
603    490      ✗        -            -           
604    491      ✗        -            -           
605    492      ✗        -            -           
606    493      ✗        -            -           
607    494      ✗        -            -           
608    495      ✗        -            -           
609    497      ✗        -            -           
610    498      ✗        -            -           
611    514      ✗        -            -           
612    515      ✗        -            -           
613    517      ✗        -            -           
614    518      ✗        -            -           
615    519      ✗        -            -           
616    520      ✗        -            -           
617    522      ✗        -            -           
618    523      ✗        -            -           
619    524      ✗        -            -           
620    525      ✗        -            -           
621    526      ✗        -            -           
622    527      ✗        -            -           
623    528      ✗        -            -           
624    529      ✗        -            -           
625    530      ✗        -            -           
626    531      ✗        -            -           
627    532      ✗        -            -           
628    533      ✗        -            -           
629    534      ✗        -            -           
630    535      ✗        -            -           
631    536      ✗        -            -           
632    537      ✗        -            -           
633    538      ✗        -            -           
634    539      ✗        -            -           
635    543      ✗        -            -           
636    544      ✗        -            -           
637    545      ✗        -            -           
638    546      ✗        -            -           
639    547      ✗        -            -           
640    548      ✗        -            -           
641    550      ✗        -            -           
642    551      ✗        -            -           
643    552      ✗        -            -           
644    553      ✗        -            -           
645    554      ✗        -            -           
646    555      ✗        -            -           
647    556      ✗        -            -           
648    558      ✗        -            -           
649    559      ✗        -            -           
650    560      ✗        -            -           
651    561      ✗        -            -           
652    562      ✗        -            -           
653    563      ✗        -            -           
654    564      ✗        -            -           
655    565      ✗        -            -           
656    566      ✗        -            -           
657    568      ✗        -            -           
658    571      ✗        -            -           
659    572      ✗        -            -           
660    574      ✗        -            -           
661    575      ✗        -            -           
662    579      ✗        -            -           
663    582      ✗        -            -           
664    583      ✗        -            -           
665    586      ✗        -            -           
666    587      ✗        -            -           
667    588      ✗        -            -           
668    591      ✗        -            -           
669    592      ✗        -            -           
670    594      ✗        -            -           
671    595      ✗        -            -           
672    596      ✗        -            -           
673    597      ✗        -            -           
674    598      ✗        -            -           
675    599      ✗        -            -           
676    600      ✗        -            -           
677    601      ✗        -            -           
678    602      ✗        -            -           
679    605      ✗        -            -           
680    607      ✗        -            -           
681    609      ✗        -            -           
682    610      ✗        -            -           
683    611      ✗        -            -           
684    612      ✗        -            -           
685    613      ✗        -            -           
686    614      ✗        -            -           
687    615      ✗        -            -           
688    616      ✗        -            -           
689    617      ✗        -            -           
690    618      ✗        -            -           
691    620      ✗        -            -           
692    621      ✗        -            -           
693    622      ✗        -            -           
694    623      ✗        -            -           
695    624      ✗        -            -           
696    625      ✗        -            -           
697    626      ✗        -            -           
698    628      ✗        -            -           
699    629      ✗        -            -           
700    630      ✗        -            -           
701    633      ✗        -            -           
702    634      ✗        -            -           
703    635      ✗        -            -           
704    636      ✗        -            -           
705    638      ✗        -            -           
706    639      ✗        -            -           
707    641      ✗        -            -           
708    644      ✗        -            -           
709    646      ✗        -            -           
710    647      ✗        -            -           
711    649      ✗        -            -           
712    651      ✗        -            -           
713    653      ✗        -            -           
714    656      ✗        -            -           
715    657      ✗        -            -           
716    659      ✗        -            -           
717    661      ✗        -            -           
718    662      ✗        -            -           
719    663      ✗        -            -           
720    665      ✗        -            -           
721    666      ✗        -            -           
722    667      ✗        -            -           
723    668      ✗        -            -           
724    669      ✗        -            -           
725    670      ✗        -            -           
726    671      ✗        -            -           
727    672      ✗        -            -           
728    673      ✗        -            -           
729    674      ✗        -            -           
730    675      ✗        -            -           
731    676      ✗        -            -           
732    677      ✗        -            -           
733    678      ✗        -            -           
734    679      ✗        -            -           
735    680      ✗        -            -           
736    681      ✗        -            -           
737    682      ✗        -            -           
738    683      ✗        -            -           
739    684      ✗        -            -           
740    686      ✗        -            -           
741    687      ✗        -            -           
742    688      ✗        -            -           
743    689      ✗        -            -           
744    690      ✗        -            -           
745    691      ✗        -            -           
746    692      ✗        -            -           
747    693      ✗        -            -           
748    694      ✗        -            -           
749    695      ✗        -            -           
750    696      ✗        -            -           
751    697      ✗        -            -           
752    698      ✗        -            -           
753    699      ✗        -            -           
754    701      ✗        -            -           
755    702      ✗        -            -           
756    703      ✗        -            -           
757    704      ✗        -            -           
758    705      ✗        -            -           
759    706      ✗        -            -           
760    707      ✗        -            -           
761    708      ✗        -            -           
762    709      ✗        -            -           
763    710      ✗        -            -           
764    711      ✗        -            -           
765    712      ✗        -            -           
766    713      ✗        -            -           
767    714      ✗        -            -           
768    716      ✗        -            -           
769    717      ✗        -            -           
770    718      ✗        -            -           
771    720      ✗        -            -           
772    721      ✗        -            -           
773    722      ✗        -            -           
774    723      ✗        -            -           
775    724      ✗        -            -           
776    725      ✗        -            -           
777    728      ✗        -            -           
778    729      ✗        -            -           
779    731      ✗        -            -           
780    733      ✗        -            -           
781    735      ✗        -            -           
782    736      ✗        -            -           
783    737      ✗        -            -           
784    738      ✗        -            -           
785    739      ✗        -            -           
786    740      ✗        -            -           
787    741      ✗        -            -           
788    742      ✗        -            -           
789    745      ✗        -            -           
790    746      ✗        -            -           
791    747      ✗        -            -           
792    748      ✗        -            -           
793    749      ✗        -            -           
794    750      ✗        -            -           
795    751      ✗        -            -           
796    752      ✗        -            -           
797    753      ✗        -            -           
798    754      ✗        -            -           
799    755      ✗        -            -           
800    756      ✗        -            -           
801    757      ✗        -            -           
802    759      ✗        -            -           
803    760      ✗        -            -           
804    761      ✗        -            -           
805    762      ✗        -            -           
806    764      ✗        -            -           
807    765      ✗        -            -           
808    766      ✗        -            -           
809    767      ✗        -            -           
810    768      ✗        -            -           
811    770      ✗        -            -           
812    771      ✗        -            -           
813    772      ✗        -            -           
814    773      ✗        -            -           
815    774      ✗        -            -           
816    775      ✗        -            -           
817    776      ✗        -            -           
818    777      ✗        -            -           
819    778      ✗        -            -           
820    779      ✗        -            -           
821    780      ✗        -            -           
822    781      ✗        -            -           
823    782      ✗        -            -           
824    783      ✗        -            -           
825    784      ✗        -            -           
826    785      ✗        -            -           
827    786      ✗        -            -           
828    787      ✗        -            -           
829    788      ✗        -            -           
830    789      ✗        -            -           
831    790      ✗        -            -           
832    791      ✗        -            -           
833    792      ✗        -            -           
834    793      ✗        -            -           
835    794      ✗        -            -           
836    795      ✗        -            -           
837    796      ✗        -            -           
838    798      ✗        -            -           
839    801      ✗        -            -           
840    802      ✗        -            -           
841    803      ✗        -            -           
842    804      ✗        -            -           
843    805      ✗        -            -           
844    806      ✗        -            -           
845    807      ✗        -            -           
846    808      ✗        -            -           
